No,Date,Time,LocName,By,On,confirmed_opp,loc_x,loc_y,desc
1,22-Apr-25,13:30,Pahalgam,Terrorists,India,TRUE,34.0068,75.3287,A
2,07-May-25,01:20,Sawai Nala camp - Muzaffarabad,Indian Armed Forces,Terror Camps,TRUE,34.3472,73.5313,B
3,07-May-25,01:20,Syedna Bilal camp - Muzaffarabad,Indian Armed Forces,Terror Camps,TRUE,34.3722,73.5063,B
4,07-May-25,01:20,Abbas camp - Kotli,Indian Armed Forces,Terror Camps,TRUE,33.5218,73.8908,C
5,07-May-25,01:20,Gulpur - Kotli,Indian Armed Forces,Terror Camps,TRUE,33.5468,73.8658,C
6,07-May-25,01:20,Bahawalpur ,Indian Armed Forces,Terror Camps,TRUE,29.134,71.3165,D
7,07-May-25,01:20,Muridke,Indian Armed Forces,Terror Camps,TRUE,31.8158,74.3059,E
8,07-May-25,01:20,Barnala camp in Bhimber ,Indian Armed Forces,Terror Camps,,32.8639,74.2488,B
9,07-May-25,01:20,Mehmoona Joya camp - Sialkot,Indian Armed Forces,Terror Camps,,32.5792,74.4938,A
10,07-May-25,01:20,Sarjal camp - Shakargarh,Indian Armed Forces,Terror Camps,,32.2519,75.1377,B
11,07-May-25,20:30,Srinagar,Pakistan Army - Drone/Missle,India,,34.0783,74.7769,A
12,07-May-25,20:30,Awantipora,Pakistan Army - Drone/Missle,India,,33.9147,75.0152,E
13,07-May-25,20:30,Jammu,Pakistan Army - Drone/Missle,India,,32.7077,74.8737,C
14,07-May-25,20:30,Pathankhot,Pakistan Army - Drone/Missle,India,,32.2635,75.6378,B
15,07-May-25,20:30,Kapurthala,Pakistan Army - Drone/Missle,India,,31.371,75.394,B
16,07-May-25,20:30,Adampur,Pakistan Army - Drone/Missle,India,,31.4363,75.7142,E
17,07-May-25,20:30,Jalandhar,Pakistan Army - Drone/Missle,India,,31.2906,75.607,E
18,07-May-25,20:30,Amritsar,Pakistan Army - Drone/Missle,India,,31.638,74.8282,B
19,07-May-25,20:30,Ludhiana,Pakistan Army - Drone/Missle,India,,30.9135,75.8291,B
20,07-May-25,20:30,Bathinda,Pakistan Army - Drone/Missle,India,,30.2093,74.9939,C
21,07-May-25,20:30,Nal Bikaner,Pakistan Army - Drone/Missle,India,,28.0526,73.2069,D
22,07-May-25,20:30,Phalodi,Pakistan Army - Drone/Missle,India,,27.1203,72.3837,E
23,07-May-25,20:30,Uttarlai,Pakistan Army - Drone/Missle,India,,25.8057,71.4661,D
24,07-May-25,20:30,Bhuj,Pakistan Army - Drone/Missle,India,,23.2226,69.6693,C
